Strategy Type,Historical Open Range,Historical Close Range,Number of Obs,Win Rate %,Avg Return,Median Return,Best Return,Worst Return,Return Std Dev,Sharpe Ratio
Short 25-Delta Call Day of Earnings → 3 Days After,Enter at open on earnings day,Exit 3 trading days later,12 trades,50% (6 wins),-6% (avg loss of 6% of premium),0% (breakeven),+4% (best gain),-47% (worst loss),15% volatility,-0.38 (risk-adjusted return)
Long 25-Delta Call Day of Earnings → 3 Days After,Buy at open on earnings day,Sell 3 trading days later,12 trades,50% (6 wins),+130% (avg gain of 130% of premium),+2% (median gain),"+1,229% (best gain)",-86% (worst loss),371% volatility,0.35 (risk-adjusted return)
Short 25-Delta Call 3 Days Before → 1 Day After,Sell 3 days pre-earnings,Cover 1 day post-earnings,12 trades,75% (9 wins),-4% (avg loss of 4% of premium),+3% (median gain),+4% (best gain),-34% (worst loss),14% volatility,-0.3 (risk-adjusted return)
Long 25-Delta Call 3 Days Before → 1 Day After,Buy 3 days pre-earnings,Sell 1 day post-earnings,12 trades,25% (3 wins),+145% (avg gain of 145% of premium),-100% (median loss),"+1,377% (best gain)",-100% (worst loss),485% volatility,0.3 (risk-adjusted return)
Short 25-Delta Call Day of Earnings → 2 Days After,Sell at open on earnings,Cover 2 trading days later,12 trades,67% (8 wins),-2% (avg loss of 2% of premium),+1% (median gain),+4% (best gain),-26% (worst loss),8% volatility,-0.21 (risk-adjusted return)
Long 25-Delta Call Day of Earnings → 2 Days After,Buy at open on earnings,Sell 2 trading days later,12 trades,33% (4 wins),+54% (avg gain of 54% of premium),-32% (median loss),+810% (best gain),-100% (worst loss),254% volatility,0.21 (risk-adjusted return)
Long 25-Delta Call 1 Day Before → 2 Days After,Buy 1 day pre-earnings,Sell 2 days post-earnings,12 trades,33% (4 wins),+80% (avg gain of 80% of premium),-96% (median loss),+736% (best gain),-100% (worst loss),284% volatility,0.28 (risk-adjusted return)
Short 25-Delta Call 1 Day Before → 2 Days After,Sell 1 day pre-earnings,Cover 2 days post-earnings,12 trades,67% (8 wins),-7% (avg loss of 7% of premium),+6% (median gain),+8% (best gain),-54% (worst loss),21% volatility,-0.32 (risk-adjusted return)
Short 25-Delta Call 1 Day After → 2 Days After,Sell 1 day post-earnings,Cover next trading day,12 trades,67% (8 wins),0% (breakeven average),+3% (median gain),+18% (best gain),-33% (worst loss),12% volatility,-0.03 (risk-adjusted return)
Long 25-Delta Call 1 Day After → 2 Days After,Buy 1 day post-earnings,Sell next trading day,12 trades,33% (4 wins),+64% (avg gain of 64% of premium),-69% (median loss),"+1,169% (best gain)",-100% (worst loss),356% volatility,0.18 (risk-adjusted return)
Short 25-Delta Call 1 Week Before → Day of Earnings,Sell 7 days pre-earnings,Cover on earnings day,12 trades,83% (10 wins),-3% (avg loss of 3% of premium),+5% (median gain),+7% (best gain),-55% (worst loss),19% volatility,-0.15 (risk-adjusted return)
Long 25-Delta Call 1 Week Before → Day of Earnings,Buy 7 days pre-earnings,Sell on earnings day,12 trades,17% (2 wins),+42% (avg gain of 42% of premium),-99% (median loss),+717% (best gain),-100% (worst loss),304% volatility,0.14 (risk-adjusted return)
Short 25-Delta Call 2 Days Before → Day of Earnings,Sell 2 days pre-earnings,Cover on earnings day,12 trades,67% (8 wins),-3% (avg loss of 3% of premium),+4% (median gain),+6% (best gain),-41% (worst loss),14% volatility,-0.19 (risk-adjusted return)
Long 25-Delta Call 2 Days Before → Day of Earnings,Buy 2 days pre-earnings,Sell on earnings day,12 trades,33% (4 wins),+59% (avg gain of 59% of premium),-98% (median loss),"+1,025% (best gain)",-100% (worst loss),324% volatility,0.18 (risk-adjusted return)
Short 25-Delta Call 1 Day After → 3 Days After,Sell 1 day post-earnings,Cover 3 days post-earnings,12 trades,67% (8 wins),-2% (avg loss of 2% of premium),+1% (median gain),+7% (best gain),-27% (worst loss),9% volatility,-0.25 (risk-adjusted return)
Long 25-Delta Call 1 Day After → 3 Days After,Buy 1 day post-earnings,Sell 3 days later,12 trades,33% (4 wins),+65% (avg gain of 65% of premium),-19% (median loss),+726% (best gain),-91% (worst loss),236% volatility,0.27 (risk-adjusted return)
Short 25-Delta Call Day of Earnings → 1 Week After,Sell at open on earnings,Cover 7 days later,12 trades,67% (8 wins),-3% (avg loss of 3% of premium),+3% (median gain),+4% (best gain),-30% (worst loss),11% volatility,-0.25 (risk-adjusted return)
Long 25-Delta Call Day of Earnings → 1 Week After,Buy at open on earnings,Sell 7 days later,12 trades,33% (4 wins),+56% (avg gain of 56% of premium),-79% (median loss),+672% (best gain),-100% (worst loss),254% volatility,0.22 (risk-adjusted return)
Long 25-Delta Call 1 Day Before → 1 Week After,Buy 1 day pre-earnings,Sell 7 days post-earnings,12 trades,33% (4 wins),+106% (avg gain of 106% of premium),-100% (median loss),+824% (best gain),-100% (worst loss),336% volatility,0.32 (risk-adjusted return)
Short 25-Delta Call 1 Day Before → 1 Week After,Sell 1 day pre-earnings,Cover 7 days post-earnings,12 trades,67% (8 wins),-10% (avg loss of 10% of premium),+6% (median gain),+8% (best gain),-73% (worst loss),27% volatility,-0.36 (risk-adjusted return)
Long 25-Delta Call 3 Days Before → Day of Earnings,Buy 3 days pre-earnings,Sell on earnings day,12 trades,25% (3 wins),+35% (avg gain of 35% of premium),-97% (median loss),"+1,036% (best gain)",-99% (worst loss),323% volatility,0.11 (risk-adjusted return)
Short 25-Delta Call 3 Days Before → Day of Earnings,Sell 3 days pre-earnings,Cover on earnings day,12 trades,75% (9 wins),-1% (avg loss of 1% of premium),+4% (median gain),+7% (best gain),-44% (worst loss),14% volatility,-0.06 (risk-adjusted return)
Long 25-Delta Call Day of Earnings → 1 Day After,Buy at open on earnings,Sell 1 day later,12 trades,33% (4 wins),+115% (avg gain of 115% of premium),-42% (median loss),"+1,448% (best gain)",-100% (worst loss),440% volatility,0.26 (risk-adjusted return)
Short 25-Delta Call Day of Earnings → 1 Day After,Sell at open on earnings,Cover 1 day later,12 trades,67% (8 wins),-3% (avg loss of 3% of premium),+1% (median gain),+6% (best gain),-39% (worst loss),12% volatility,-0.23 (risk-adjusted return)
Short 25-Delta Call 1 Day Before → 1 Day After,Sell 1 day pre-earnings,Cover 1 day post-earnings,12 trades,75% (9 wins),-8% (avg loss of 8% of premium),+4% (median gain),+7% (best gain),-62% (worst loss),25% volatility,-0.33 (risk-adjusted return)
Long 25-Delta Call 1 Day Before → 1 Day After,Buy 1 day pre-earnings,Sell 1 day post-earnings,12 trades,25% (3 wins),+154% (avg gain of 154% of premium),-100% (median loss),"+1,360% (best gain)",-100% (worst loss),486% volatility,0.32 (risk-adjusted return)
Long 25-Delta Call 1 Day Before → Day of Earnings,Buy 1 day pre-earnings,Sell on earnings day,12 trades,25% (3 wins),+49% (avg gain of 49% of premium),-94% (median loss),"+1,044% (best gain)",-99% (worst loss),327% volatility,0.15 (risk-adjusted return)
Short 25-Delta Call 1 Day Before → Day of Earnings,Sell 1 day pre-earnings,Cover on earnings day,12 trades,75% (9 wins),-4% (avg loss of 4% of premium),+8% (median gain),+14% (best gain),-94% (worst loss),30% volatility,-0.14 (risk-adjusted return)
Long 25-Delta Call 2 Days Before → 1 Day After,Buy 2 days pre-earnings,Sell 1 day post-earnings,12 trades,33% (4 wins),+179% (avg gain of 179% of premium),-100% (median loss),"+1,363% (best gain)",-100% (worst loss),489% volatility,0.37 (risk-adjusted return)
Short 25-Delta Call 2 Days Before → 1 Day After,Sell 2 days pre-earnings,Cover 1 day post-earnings,12 trades,67% (8 wins),-10% (avg loss of 10% of premium),+5% (median gain),+7% (best gain),-59% (worst loss),25% volatility,-0.4 (risk-adjusted return)
Short 25-Delta Call 2 Weeks Before → 1 Day After,Sell 14 days pre-earnings,Cover 1 day post-earnings,12 trades,92% (11 wins),-2% (avg loss of 2% of premium),+4% (median gain),+6% (best gain),-69% (worst loss),21% volatility,-0.07 (risk-adjusted return)
Long 25-Delta Call 2 Weeks Before → 1 Day After,Buy 14 days pre-earnings,Sell 1 day post-earnings,12 trades,8% (1 win),+11% (avg gain of 11% of premium),-100% (median loss),"+1,228% (best gain)",-100% (worst loss),383% volatility,0.03 (risk-adjusted return)
Short 25-Delta Call 1 Week Before → 1 Day After,Sell 7 days pre-earnings,Cover 1 day post-earnings,12 trades,83% (10 wins),-9% (avg loss of 9% of premium),+5% (median gain),+8% (best gain),-113% (worst loss),36% volatility,-0.25 (risk-adjusted return)
Long 25-Delta Call 1 Week Before → 1 Day After,Buy 7 days pre-earnings,Sell 1 day post-earnings,12 trades,17% (2 wins),+126% (avg gain of 126% of premium),-100% (median loss),"+1,439% (best gain)",-100% (worst loss),509% volatility,0.25 (risk-adjusted return)
Long 25-Delta Call 1 Day After → 1 Week After,Buy 1 day post-earnings,Sell 7 days later,12 trades,25% (3 wins),-44% (avg loss of 44% of premium),-87% (median loss),+144% (best gain),-100% (worst loss),82% volatility,-0.53 (risk-adjusted return)
Short 25-Delta Call 1 Day After → 1 Week After,Sell 1 day post-earnings,Cover 7 days later,12 trades,75% (9 wins),+1% (avg gain of 1% of premium),+2% (median gain),+4% (best gain),-4% (worst loss),2% volatility,0.45 (risk-adjusted return)
Long 25-Delta Call 1 Day Before → 3 Days After,Buy 1 day pre-earnings,Sell 3 days post-earnings,12 trades,33% (4 wins),+141% (avg gain of 141% of premium),-95% (median loss),"+1,159% (best gain)",-100% (worst loss),405% volatility,0.35 (risk-adjusted return)
Short 25-Delta Call 1 Day Before → 3 Days After,Sell 1 day pre-earnings,Cover 3 days post-earnings,12 trades,67% (8 wins),-7% (avg loss of 7% of premium),+3% (median gain),+5% (best gain),-54% (worst loss),19% volatility,-0.39 (risk-adjusted return)
Long 25-Delta Call 2 Weeks Before → 1 Day Before,Buy 14 days pre-earnings,Sell 1 day pre-earnings,12 trades,25% (3 wins),-45% (avg loss of 45% of premium),-89% (median loss),+202% (best gain),-99% (worst loss),90% volatility,-0.5 (risk-adjusted return)
Short 25-Delta Call 2 Weeks Before → 1 Day Before,Sell 14 days pre-earnings,Cover 1 day pre-earnings,12 trades,75% (9 wins),+3% (avg gain of 3% of premium),+5% (median gain),+9% (best gain),-17% (worst loss),7% volatility,0.42 (risk-adjusted return)
Long 25-Delta Call 1 Week Before → 1 Day Before,Buy 7 days pre-earnings,Sell 1 day pre-earnings,12 trades,25% (3 wins),-5% (avg loss of 5% of premium),-32% (median loss),+250% (best gain),-83% (worst loss),95% volatility,-0.05 (risk-adjusted return)
Short 25-Delta Call 1 Week Before → 1 Day Before,Sell 7 days pre-earnings,Cover 1 day pre-earnings,12 trades,75% (9 wins),0% (breakeven average),+1% (median gain),+4% (best gain),-12% (worst loss),4% volatility,0 (risk-adjusted return)
Long 25-Delta Call 3 Days Before → 1 Day Before,Buy 3 days pre-earnings,Sell 1 day pre-earnings,12 trades,25% (3 wins),-11% (avg loss of 11% of premium),-10% (median loss),+47% (best gain),-61% (worst loss),28% volatility,-0.38 (risk-adjusted return)
Short 25-Delta Call 3 Days Before → 1 Day Before,Sell 3 days pre-earnings,Cover 1 day pre-earnings,12 trades,67% (8 wins),0% (breakeven average),0% (breakeven),+2% (best gain),-3% (worst loss),1% volatility,0.28 (risk-adjusted return)
Short 25-Delta Call 2 Days Before → 1 Day Before,Sell 2 days pre-earnings,Cover 1 day pre-earnings,12 trades,83% (10 wins),0% (breakeven average),+2% (median gain),+5% (best gain),-16% (worst loss),5% volatility,0.03 (risk-adjusted return)
Long 25-Delta Call 2 Days Before → 1 Day Before,Buy 2 days pre-earnings,Sell 1 day pre-earnings,12 trades,17% (2 wins),-8% (avg loss of 8% of premium),-15% (median loss),+94% (best gain),-59% (worst loss),39% volatility,-0.21 (risk-adjusted return)
Long 25-Delta Call 2 Weeks Before → Day of Earnings,Buy 14 days pre-earnings,Sell on earnings day,12 trades,8% (1 win),-37% (avg loss of 37% of premium),-99% (median loss),+605% (best gain),-100% (worst loss),202% volatility,-0.18 (risk-adjusted return)
Short 25-Delta Call 2 Weeks Before → Day of Earnings,Sell 14 days pre-earnings,Cover on earnings day,12 trades,92% (11 wins),+2% (avg gain of 2% of premium),+5% (median gain),+9% (best gain),-47% (worst loss),16% volatility,0.11 (risk-adjusted return)
Long 25-Delta Put Day of Earnings → 3 Days After,Buy at open on earnings,Sell 3 days later,12 trades,0% (0 wins),-76% (avg loss of 76% of premium),-88% (median loss),-34% (best outcome),-96% (worst loss),22% volatility,-3.39 (risk-adjusted return)
Short 25-Delta Put Day of Earnings → 3 Days After,Sell at open on earnings,Cover 3 days later,12 trades,100% (12 wins),+4% (avg gain of 4% of premium),+4% (median gain),+7% (best gain),+2% (worst gain),2% volatility,2.37 (risk-adjusted return)
